Altium Designer Pick and Place Locations
P:\Research & Development\DCN_Pending\121\DCN121-2\52-2003_05 NNP Biopotential PCB, Unpopulated PCB\Pick Place for 52-2003_05 NNP Biopotential PCB1, Unpopulated.csv

========================================================================================================================
File Design Information:

Date:       27/11/18
Time:       10:56
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TH1","Header 13X2A","TopLayer","HDR2X13_CEN","2572.938","-683.175","270","Header, 13-Pin, Dual row"
"R42","R_49k9_0402","TopLayer","RES_0402","1578.323","-809.351","90","49.9k ohm, 1%, 1/16W, 0402, RoHS"
"R41","R_150k_0402","TopLayer","RES_0402","1535.229","-809.351","270","150k ohm, 1%, 1/16W, smd, 0402, RoHS"
"R40","R_1k6_0402","TopLayer","RES_0402","1707.577","-808.014","270","1.6K ohm, 1%, 1/16W, smd, 0402, RoHS"
"C36","C_1n_C0G_50_0402_5%","TopLayer","CAP_0402","1622.158","-809.351","90","1000pF, 50V, C0G, 5%, 0402, RoHS"
"C35","C_100n_X7R_16_0402_10%","TopLayer","CAP_0402","1666.781","-807.665","90","0.1uF, 16V, X7R, 0402, RoHS"
"C55","C_150n_X7R_16_0402_10%","TopLayer","CAP_0402","78.041","-1199.138","360","0.15uF, 16V, X7R, 10%, 0402, RoHS"
"C32","C_100n_X7R_16_0402_10%","TopLayer","CAP_0402","1523.835","-1282.556","180","0.1uF, 16V, X7R, 0402, RoHS"
"C15","C_1u_X7R_25_0603_10%","TopLayer","CAP_0603","1474.918","-459.020","180","1uF, 25V, X7R, 0603, 10%, RoHs"
"C51","C_10n_X7R_50_0603_20%_X2Y","TopLayer","CAP_0603_X14","128.765","-130.114","360","X2Y, 10000pF, 50V, X7R, 0603, 20%, RoHS"
"C40","C_10n_X7R_50_0603_20%_X2Y","TopLayer","CAP_0603_X14","331.521","-130.114","360","X2Y, 10000pF, 50V, X7R, 0603, 20%, RoHS"
"R55","RES_0402","TopLayer","RES_0402","128.765","-223.587","360","1M ohm, 1%, 1/16W, 0402, RoHS"
"R46","RES_0402","TopLayer","RES_0402","331.521","-223.587","360","1M ohm, 1%, 1/16W, 0402, RoHS"
"R51","R_1k6_0402","TopLayer","RES_0402","82.975","-868.272","180","1.6K ohm, 1%, 1/16W, smd, 0402, RoHS"
"R43","R_1k6_0402","TopLayer","RES_0402","370.891","-887.957","360","1.6K ohm, 1%, 1/16W, smd, 0402, RoHS"
"R50","R_10k_0402","TopLayer","RES_0402","73.647","-759.020","270","10.0k ohm, 1%, 1/16W, smd, 0402, RoHS"
"R49","R_10k_0402","TopLayer","RES_0402","366.954","-778.705","270","10.0k ohm, 1%, 1/16W, smd, 0402, RoHS"
"R52","R_150k_0402","TopLayer","RES_0402","73.155","-689.138","270","150k ohm, 1%, 1/16W, smd, 0402, RoHS"
"R48","R_150k_0402","TopLayer","RES_0402","366.462","-708.823","270","150k ohm, 1%, 1/16W, smd, 0402, RoHS"
"R54","R_332_0402","TopLayer","RES_0402","200.616","-199.964","90","332 ohm, 1%, 1/16W, 0402, RoHS"
"R45","R_332_0402","TopLayer","RES_0402","406.441","-580.411","90","332 ohm, 1%, 1/16W, 0402, RoHS"
"R56","R_10k_0402_0%1","TopLayer","RES_0402","199.631","-106.461","270","10k ohm, 0.1%, 1/16W, 0402, RoHS"
"R53","R_10k_0402_0%1","TopLayer","RES_0402","121.876","-72.996","180","10k ohm, 0.1%, 1/16W, 0402, RoHS"
"R47","R_10k_0402_0%1","TopLayer","RES_0402","325.047","-71.028","360","10k ohm, 0.1%, 1/16W, 0402, RoHS"
"R44","R_10k_0402_0%1","TopLayer","RES_0402","257.702","-106.460","270","10k ohm, 0.1%, 1/16W, 0402, RoHS"
"U21","MOSFET 2N, 60V, 0.305A","TopLayer","SOT-563","292.151","-972.159","270","MOSFET 2N, 60V, 0.305A, RoHS"
"U17","DIGPOT 2.7-3.6V SPI","TopLayer","QFN16","173.647","-1082.346","180","Digipot, 2.7-3.6V,  SPI, QFN16, RoHS"
"U18","OPA 1.8-5.5V DFN8","TopLayer","TI-DRB8-2400X1650TP_V","216.364","-858.429","180","OPA, 1.8-5.5V, DFN8, RoHS"
"U19","Op-Amp Dual R-R","TopLayer","DFN8","216.364","-689.138","180","Op-Amp, Dual, R-R, DFN8, RoHS"
"U20","INA 2.3-18V 530uA","TopLayer","SOIC8-N","128.765","-392.878","270","Op-Amp Instrumentation, 400kHz, SOIC8-N, RoHS"
"U16","INA 2.3-18V 530uA","TopLayer","SOIC8-N","331.521","-392.878","270","Op-Amp Instrumentation, 400kHz, SOIC8-N, RoHS"
"C53","C_100n_X7R_16_0402_10%","TopLayer","CAP_0402","82.975","-952.917","360","0.1uF, 16V, X7R, 0402, RoHS"
"C39","C_100n_X7R_16_0402_10%","TopLayer","CAP_0402","370.891","-981.461","180","0.1uF, 16V, X7R, 0402, RoHS"
"C50","C_100n_X7R_16_0402_10%","TopLayer","CAP_0402","82.975","-909.610","360","0.1uF, 16V, X7R, 0402, RoHS"
"C38","C_100n_X7R_16_0402_10%","TopLayer","CAP_0402","371.133","-940.614","180","0.1uF, 16V, X7R, 0402, RoHS"
"C44","C_150n_X7R_16_0402_10%","TopLayer","CAP_0402","135.655","-1244.306","270","0.15uF, 16V, X7R, 10%, 0402, RoHS"
"C43","C_150n_X7R_16_0603_10%","TopLayer","CAP_0603","187.328","-943.075","360","0.15uF, 16V, X7R, 10%, 0603, RoHS"
"C47","C_150n_X7R_16_0603_10%","TopLayer","CAP_0603","271.482","-586.775","90","0.15uF, 16V, X7R, 10%, 0603, RoHS"
"C46","C_150n_X7R_16_0603_10%","TopLayer","CAP_0603","188.805","-773.783","360","0.15uF, 16V, X7R, 10%, 0603, RoHS"
"C49","C_100n_X7R_16_0402_10%","TopLayer","CAP_0402","114.002","-689.138","90","0.1uF, 16V, X7R, 0402, RoHS"
"C42","C_100n_X7R_16_0402_10%","TopLayer","CAP_0402","326.600","-708.823","90","0.1uF, 16V, X7R, 0402, RoHS"
"C54","C_150n_X7R_16_0603_10%","TopLayer","CAP_0603","61.836","-198.980","90","0.15uF, 16V, X7R, 10%, 0603, RoHS"
"C48","C_150n_X7R_16_0603_10%","TopLayer","CAP_0603","176.010","-569.059","360","0.15uF, 16V, X7R, 10%, 0603, RoHS"
"C45","C_150n_X7R_16_0603_10%","TopLayer","CAP_0603","255.734","-198.980","90","0.15uF, 16V, X7R, 10%, 0603, RoHS"
"C37","C_150n_X7R_16_0603_10%","TopLayer","CAP_0603","353.480","-585.501","270","0.15uF, 16V, X7R, 10%, 0603, RoHS"
"C52","C_4n7_C0G_50_0402_10%","TopLayer","CAP_0402","128.765","-183.232","360","4700pF, 50V, C0G, 0402_10%, RoHS"
"C41","C_4n7_C0G_50_0402_10%","TopLayer","CAP_0402","331.521","-183.232","360","4700pF, 50V, C0G, 0402_10%, RoHS"
"U14","Tri-axis accelerometer, I2C, I2Caddr=0001111","TopLayer","LGA10","1543.615","-1198.712","360","Tri-axis accelerometer, I2C,  LGA10, RoHS"
"C31","C_10u_X5R_6V3_0603_20%","TopLayer","CAP_0603","1465.738","-930.463","90","10uF, 6.3V, X5R, 0603_20%, RoHS"
"C29","C_100n_X7R_16_0402_10%","TopLayer","CAP_0402","1716.085","-1199.373","270","0.1uF, 16V, X7R, 0402, RoHS"
"U13","Temp Sens 1.4-3.6V 10uA 12bit I2C","TopLayer","SOT-563","1651.658","-1179.527","360","Temperature Sensor,12bit I2C,  SOT563, RoHS"
"Y1","Crystal 8MHz SMT","TopLayer","NX5032GA","945.694","-1258.812","180","Crystal 8MHz SMT"
"R32","R_10k_0402","TopLayer","RES_0402","1001.797","-732.445","180","10.0k ohm, 1%, 1/16W, smd, 0402, RoHS"
"R31","R_10k_0402","TopLayer","RES_0402","931.915","-732.445","360","10.0k ohm, 1%, 1/16W, smd, 0402, RoHS"
"R30","R_20_0402","TopLayer","RES_0402","321.187","-1075.968","270","20 ohm, 1%, 0402, 1%, RoHS"
"LED1","LED Red 0402","TopLayer","LED_0402_RED","1120.891","-652.720","360","LED, Red, 0402, 20mA ,2V, 140mcd, RoHS"
